date,avarage
1795-10-01,7.7860000000000005
1795-11-01,5.207000000000001
1795-12-01,2573
1796-01-01,2.8440000000000003
1796-02-01,2736
1796-03-01,3477
1796-04-01,7773
1796-05-01,11273
1796-06-01,14216
1796-07-01,14314
1796-08-01,14.722000000000001
1796-09-01,12012
1796-10-01,8924
1796-11-01,5.702000000000001
1796-12-01,1.2590000000000001
1797-01-01,4396
1797-02-01,4957
1797-03-01,4056
1797-04-01,6.6
1797-05-01,10417
1797-06-01,13852
1797-07-01,14.107000000000001
1797-08-01,14.04
1797-09-01,12.459000000000001
1797-10-01,9191
1797-11-01,4777
1797-12-01,3275
1798-01-01,2.6790000000000003
1798-02-01,3213
1798-03-01,7.007999999999999
1798-04-01,8083
1798-05-01,11.768999999999998
1798-06-01,13246
1798-07-01,14.950999999999999
1798-08-01,14.754000000000001
1798-09-01,11627
1798-10-01,8655
1798-11-01,6.031000000000001
1798-12-01,2027
1799-01-01,1923
1799-02-01,2.0780000000000003
1799-03-01,3986
1799-04-01,8786
1799-05-01,11353
1799-06-01,13.68
1799-07-01,14.869000000000002
1799-08-01,14.085999999999999
1799-09-01,12311
1799-10-01,9606
1799-11-01,5904
1799-12-01,3487
1800-01-01,2815
1800-02-01,3634
1800-03-01,4452
1800-04-01,9125
1800-05-01,11.097000000000001
1800-06-01,13606
1800-07-01,13763
1800-08-01,13.619000000000002
1800-09-01,10795
1800-10-01,9469
1800-11-01,5572
1800-12-01,3864
1801-01-01,2.6870000000000003
1801-02-01,3.1489999999999996
1801-03-01,6455
1801-04-01,7404
1801-05-01,12123
1801-06-01,12536
1801-07-01,14.675999999999998
1801-08-01,13.187000000000001
1801-09-01,11462
1801-10-01,9099
1801-11-01,5.72
1801-12-01,4.5779999999999985
1802-01-01,3.74
1802-02-01,2.8280000000000003
1802-03-01,5.2010000000000005
1802-04-01,7.622999999999998
1802-05-01,10457
1802-06-01,14.470999999999998
1802-07-01,14628
1802-08-01,14.039000000000001
1802-09-01,11.787999999999998
1802-10-01,9747
1802-11-01,5535
1802-12-01,2.8810000000000002
1803-01-01,0.6019999999999999
1803-02-01,1443
1803-03-01,4875
1803-04-01,9291
1803-05-01,11795
1803-06-01,13821
1803-07-01,15106
1803-08-01,15366
1803-09-01,12.33
1803-10-01,9119
1803-11-01,5961
1803-12-01,2327
1804-01-01,2.4450000000000003
1804-02-01,1939
1804-03-01,4425
1804-04-01,10057
1804-05-01,12.107000000000001
1804-06-01,13.774000000000001
1804-07-01,15774
1804-08-01,14511
1804-09-01,12468
1804-10-01,9282
1804-11-01,7.132000000000001
1804-12-01,2224
1805-01-01,2822
1805-02-01,2557
1805-03-01,5.76
1805-04-01,8123
1805-05-01,11.104000000000001
1805-06-01,14.027000000000001
1805-07-01,14702
1805-08-01,15.27
1805-09-01,12.039000000000001
